funder_name,city,state,country,value_granted,no_of_grants
The Hanson Family Foundation,Saint Joseph,MI,United States,"$50,000 ",1
The Savannah Community Foundation,Savannah,GA,United States,"$50,000 ",1
Whirlpool Corporation Contributions Program,Benton Harbor,MI,United States,"$50,000 ",1
Community Foundation of the Ozarks Inc,Springfield,MO,United States,"$47,500 ",8
Blandin Foundation,Grand Rapids,MN,United States,"$45,000 ",3
"Pseg Foundation, Inc.",Newark,NJ,United States,"$45,000 ",1
Black Hills Area Community Foundation,Rapid City,SD,United States,"$40,000 ",8
Los Altos Community Foundation,Los Altos,CA,United States,"$40,000 ",1
Outer Banks Community Foundation Inc,Southern Shores,NC,United States,"$31,788 ",2
Louis C.K.,New York City,NY,United States,"$30,000 ",1
Archstone Foundation,Long Beach,CA,United States,"$25,000 ",1
"Greater Green Bay Community Foundation, Inc.",Green Bay,WI,United States,"$25,000 ",1
Greenwich United Way,Greenwich,CT,United States,"$25,000 ",1
Mary S. & David C. Corbin Foundation,Akron,OH,United States,"$25,000 ",1
Societe Generale Group,Paris,,France,"$21,630 ",1
United Way of Bucks County,Fairless Hills,PA,United States,"$20,000 ",4
La Crosse Community Foundation,La Crosse,WI,United States,"$20,000 ",1
Dreamoval Limited,,,Ghana,"$17,241 ",1
Lamb Foundation,Lake Oswego,OR,United States,"$16,100 ",5
The Hudson Foundation,Portland,ME,United States,"$15,000 ",1
Esmee Fairbairn Foundation,London,,England,"$12,455 ",1
Marietta Community Foundation,Marietta,OH,United States,"$12,000 ",3
Greater Lowell Community Foundation,Lowell,MA,United States,"$10,000 ",1
Owatonna Foundation,Owatonna,MN,United States,"$10,000 ",1
Community Foundation for Northeast Georgia,Duluth,GA,United States,"$351,425 ",26
Bd Corporate Giving Program,Franklin Lakes,NJ,United States,"$350,000 ",2
Wesbanco Bank,Wheeling,WV,United States,"$350,000 ",1
Conocophillips Corporate Giving Program,Houston,TX,United States,"$345,000 ",4
The Foundation for Delaware County,Media,PA,United States,"$344,755 ",38
Melco Resorts & Entertainment,Hong Kong,,Hong Kong,"$334,780 ",1
United Way Summit County,Akron,OH,United States,"$310,000 ",16
Doterra International,Pleasant Grove,UT,United States,"$302,820 ",1
Ball Brothers Foundation,Muncie,IN,United States,"$300,000 ",42
Chevron Corporation Contributions Program,San Ramon,CA,United States,"$300,000 ",1
Texas Instruments Incorporated Contributions Program,Dallas,TX,United States,"$300,000 ",1
Mcknight Foundation,Minneapolis,MN,United States,"$290,000 ",4
Bnp Paribas (China),Shanghai,,China,"$288,400 ",2
Amorepacific Corporation,Seoul,,South Korea,"$288,400 ",1
"Cargill, Incorporated Contributions Program",Minneapolis,MN,United States,"$288,400 ",1
Funplus Game Co.,Beijing,,China,"$288,400 ",1
Ibm Corporate Giving Program,Armonk,NY,United States,"$288,400 ",1
Thyssenkrupp Ag,Essen,,Germany,"$288,400 ",1
Mcauley Ministries,Pittsburgh,PA,United States,"$286,000 ",11
"Cf Foundation, Inc.",Atlanta,GA,United States,"$285,000 ",10
The Estee Lauder Companies Inc. Corporate Giving Program,New York City,NY,United States,"$284,800 ",1
A.C. Milan,Milano,,Italy,"$281,910 ",1
North Georgia Community Foundation,Gainesville,GA,United States,"$258,360 ",24
Oceanfirst Foundation,Toms River,NJ,United States,"$250,000 ",35
Broadway Cares/Equity Fights Aids,New York City,NY,United States,"$250,000 ",1
Charlotte Mecklenburg Community Foundation,Charlotte,NC,United States,"$250,000 ",1
Erica Lawson,San Francisco,CA,United States,"$250,000 ",1
F. R. Bigelow Foundation,Saint Paul,MN,United States,"$250,000 ",1
Great-West Life & Annuity Insurance Company Contributions Program,Greenwood Village,CO,United States,"$250,000 ",1
Jeff Lawson,San Francisco,CA,United States,"$250,000 ",1
"Sacramento Kings, L.P. Corporate Giving Program",Sacramento,CA,United States,"$250,000 ",1
The Starbucks Foundation,Seattle,WA,United States,"$250,000 ",1
Webster Bank Corporate Giving Program,Waterbury,CT,United States,"$250,000 ",1
Woda Cooper Companies,Columbus,OH,United States,"$250,000 ",1
"Pascale/Sykes Foundation, Inc.",Philadelphia,PA,United States,"$242,250 ",13
Gulf Coast Community Foundation,Venice,FL,United States,"$223,650 ",11
Cvs Health Corporate Giving Program,Woonsocket,RI,United States,"$220,000 ",1
The Alaska Community Foundation,Anchorage,AK,United States,"$215,375 ",25
Northland Foundation,Duluth,MN,United States,"$215,000 ",94
Keppel Care Foundation Limited,Singapore,,Singapore,"$214,500 ",1
The Dayton Foundation,Dayton,OH,United States,"$213,499 ",14
"J. B. Fuqua Foundation, Inc.",Atlanta,GA,United States,"$205,000 ",12
Liberty Bank Foundation,Wethersfield,CT,United States,"$200,000 ",17
Kate Spade New York Foundation,New York City,NY,United States,"$200,000 ",2
Ripple,San Francisco,CA,United States,"$200,000 ",2
"The Boston Beer Company, Inc. Contributions Program",Boston,MA,United States,"$200,000 ",2
Cathay Bank Contributions Program,Los Angeles,CA,United States,"$200,000 ",1
Genscript Biotech Corporation,Nanjing,,China,"$200,000 ",1
Pinpoint Foundation,Palo Alto,CA,United States,"$198,000 ",38
Health and Happiness (H&H) International Holdings Limited,Quarry Bay,,Hong Kong,"$187,460 ",1
The Commonwealth Fund,New York City,NY,United States,"$179,936 ",4
Community Foundation for the Alleghenies,Johnstown,PA,United States,"$172,187 ",41
"United Way of the Central Savannah River Area, Inc",Augusta,GA,United States,"$160,000 ",6
"The Community Foundation of Frederick County, Inc.",Frederick,MD,United States,"$158,500 ",14
Sam L. Cohen Foundation,Portland,ME,United States,"$150,000 ",15
Gar Foundation,Akron,OH,United States,"$150,000 ",1
Wells Fargo & Company Contributions Program,San Francisco,CA,United States,"$150,000 ",1
Anqiu Lu'An Pharmaceutical Co.,Anqiu,,China,"$144,200 ",1
Denso Corporation,Kariya,,Japan,"$144,200 ",1
Gianni Versace,Milano,,Italy,"$144,200 ",1
Hozon New Energy Automobile Co.,Tongxiang,,China,"$144,200 ",1
Lizhi Inc.,Guangzhou,,China,"$144,200 ",1
Meiji Seika Pharma Co.,Tokyo,,Japan,"$144,200 ",1
"Micron Technology Foundation, Inc.",Boise,ID,United States,"$144,200 ",1
Servier Tianjin Pharmaceutical Co.,Tianjin,,China,"$144,200 ",1
Wuhan Guide Infrared Co.,Wuhan,,China,"$144,200 ",1
Great Eastern Holdings,Singapore,,Singapore,"$143,000 ",1
"Molina Healthcare, Inc. Contributions Program",Long Beach,CA,United States,"$140,000 ",2
Dcb Bank Limited,Mumbai,,India,"$130,429 ",1
A B Charitable Trust,London,,England,"$128,276 ",1
The Provident Bank Foundation,Morristown,NJ,United States,"$125,000 ",25
Bonfils-Stanton Foundation,Denver,CO,United States,"$125,000 ",1
